date,state,unemployment_rate,percent_error
2010-01-01,Alabama,7.766768466568616,0.1
2010-01-01,Alaska,8.655555499087624,0.3
2010-01-01,Arizona,6.504694110497358,0.1
2010-01-01,Arkansas,6.928327425906101,0.2
2010-01-01,California,7.963135854586823,0.1
2010-01-01,Colorado,5.681392861422648,0.1
2010-01-01,Connecticut,6.597713345392405,0.1
2010-01-01,Delaware,6.622922421797172,0.3
2010-01-01,District of Columbia,8.760788549426524,0.5
2010-01-01,Florida,7.439519142329278,0.1
2010-01-01,Georgia,7.507227200498156,0.1
2010-01-01,Hawaii,4.520204557283101,0.2
2010-01-01,Idaho,6.033654683282492,0.2
2010-01-01,Illinois,7.795088007251904,0.1
2010-01-01,Indiana,7.695954231019509,0.1
2010-01-01,Iowa,4.9475148062008065,0.1
2010-01-01,Kansas,5.504151874819643,0.1
2010-01-01,Kentucky,7.56429879047646,0.1
2010-01-01,Louisiana,7.4730740235098825,0.1
2010-01-01,Maine,5.7226121818853395,0.2
2010-01-01,Maryland,5.826179401554356,0.1
2010-01-01,Massachusetts,6.460539483652646,0.1
2010-01-01,Michigan,10.348497602060027,0.1
2010-01-01,Minnesota,5.592184120332864,0.1
2010-01-01,Mississippi,9.364043877611794,0.2
2010-01-01,Missouri,6.6057651611527834,0.1
2010-01-01,Montana,4.864445258810557,0.2
2010-01-01,Nebraska,4.872425851708615,0.2
2010-01-01,Nevada,8.070400875779455,0.2
2010-01-01,New Hampshire,5.327589669646412,0.2
2010-01-01,New Jersey,6.938383464427029,0.1
2010-01-01,New Mexico,6.308213036745439,0.2
2010-01-01,New York,6.707852593707911,0.1
2010-01-01,North Carolina,7.893065816162281,0.1
2010-01-01,North Dakota,3.933462496800497,0.2
2010-01-01,Ohio,7.669482516913783,0.1
2010-01-01,Oklahoma,5.965185447701251,0.1
2010-01-01,Oregon,7.729349672083571,0.1
2010-01-01,Pennsylvania,6.727982568021203,0.1
2010-01-01,Puerto Rico,16.09027569538602,0.2
2010-01-01,Rhode Island,7.080438851784645,0.3
2010-01-01,South Carolina,8.667827163172317,0.1
2010-01-01,South Dakota,4.582471774856479,0.2
2010-01-01,Tennessee,8.095454425610779,0.1
2010-01-01,Texas,6.723961400197001,0.1
2010-01-01,Utah,5.442054283102378,0.2
2010-01-01,Vermont,5.298790587637179,0.2
2010-01-01,Virginia,5.204032355994454,0.1
2010-01-01,Washington,6.542489096837823,0.1
2010-01-01,West Virginia,6.684464795764547,0.2
2010-01-01,Wisconsin,6.2883979247862465,0.1
2010-01-01,Wyoming,4.144125220237471,0.2
2010-02-01,Alabama,7.846091672500979,0.1
2010-02-01,Alaska,8.650938487105906,0.3
2010-02-01,Arizona,6.605193273472033,0.1
2010-02-01,Arkansas,6.9996091266619676,0.2
2010-02-01,California,8.053766515564016,0.1
2010-02-01,Colorado,5.777551004853061,0.1
2010-02-01,Connecticut,6.688413259387934,0.1
2010-02-01,Delaware,6.666276399475523,0.3
2010-02-01,District of Columbia,8.81380425179187,0.5
2010-02-01,Florida,7.5675140655451525,0.1
2010-02-01,Georgia,7.622015132056716,0.1
2010-02-01,Hawaii,4.6070503679600465,0.2
2010-02-01,Idaho,6.116563275355063,0.2
2010-02-01,Illinois,7.866198526133945,0.1
2010-02-01,Indiana,7.758432048370483,0.1
2010-02-01,Iowa,4.978425243808732,0.1
2010-02-01,Kansas,5.547905804261133,0.1
2010-02-01,Kentucky,7.619752535719845,0.1
2010-02-01,Louisiana,7.492800827320065,0.1
2010-02-01,Maine,5.788753566672627,0.2
2010-02-01,Maryland,5.893964949192131,0.1
2010-02-01,Massachusetts,6.544083707171818,0.1
2010-02-01,Michigan,10.451221372700104,0.1
2010-02-01,Minnesota,5.663680681366218,0.1
2010-02-01,Mississippi,9.385159742904879,0.2
2010-02-01,Missouri,6.671059883610877,0.1
2010-02-01,Montana,4.939243395514104,0.2
2010-02-01,Nebraska,4.886553033698928,0.2
2010-02-01,Nevada,8.15342348852207,0.2
2010-02-01,New Hampshire,5.378767679265181,0.2
2010-02-01,New Jersey,7.012823022905503,0.1
2010-02-01,New Mexico,6.385964031770595,0.2
2010-02-01,New York,6.774035409840773,0.1
2010-02-01,North Carolina,7.973216493486574,0.1
2010-02-01,North Dakota,3.905608855605711,0.2
2010-02-01,Ohio,7.752740888179483,0.1
2010-02-01,Oklahoma,5.984267356909168,0.1
2010-02-01,Oregon,7.814967523971079,0.1
2010-02-01,Pennsylvania,6.777809797339364,0.1
2010-02-01,Puerto Rico,16.13642545763156,0.2
2010-02-01,Rhode Island,7.1556686875922155,0.3
